# this table lists all the cells recorded in CM. In order to be marked as
# healthy, a neuron needs to meet the following criteria:
# - spike height > 0 mV
# - resting potential < -60 mV
#
# the heat column is used to indicate whether the recording was done at room
# temperature (RT) or at an elevated temperature (H) that should be recorded
# in the ABF file. Sometimes these data were lost, in which case an override
# value can be supplied here
name cell class base.epoch healthy complex biocytin age heat drug isolate
20141125_1_1 0bfdd1e2-1ff9-41da-aa58-7fad7a73a4c6 onset 2 0 0 0 39 H none colony
20141125_1_2 e4052cd1-4e3e-46ee-9d8c-e64babede1e5 fast 2 1 1 0 39 H none colony
20141126_1_1 2bafa682-87fa-4196-97b3-95a806795d24 onset 2 1 0 0 36 H none colony
20141203_1_1 a8341979-7db5-4158-bb64-572c04d55064 onset 4 0 1 0 37 H none colony
20141203_1_2 e1e565f0-8239-4ad8-b4be-0a8d5dc2c625 fast 2 1 0 0 37 H none colony
20141204_3_1 bee7e012-0231-43aa-8219-be72bf67bfd4 onset 2 1 1 0 35 H none colony
20141205_1_1 6673a55d-3b20-4db5-b4ea-0d10c685d0cf regular 2 1 0 0 35 H none colony
20141208_2_1 6bf9c38e-b244-4041-b1a9-c73549bbd244 fast 10 0 0 0 36 H none colony
20141209_2_1 041ad2a6-d8f5-4614-80d4-b6900f0d60ac regular 4 1 0 0 22 H none colony
20141209_2_2 be449c03-1d8f-4483-9d62-8df323d696e7 onset 4 1 0 0 22 H none colony
20141210_1_1 658d9c3c-f65b-4d36-8e1d-a2c5edfcf02f onset 3 0 0 0 25 H none colony
20141210_2_1 e90d9fe3-cc9e-40d5-a96e-8f3cbd06d4d7 onset 2 1 1 0 25 H none colony
20141210_2_2 62152f9a-8f70-45c1-b5c6-c83e2688f2f1 trans 6 1 0 0 25 H none colony
20141210_2_3 73a0fb59-7bc7-402c-a8de-55f08049d579 fast 2 1 1 0 25 H none colony
20141211_1_1 bed49bf8-405d-46ac-a9f7-d769092581ff regular 2 1 0 0 25 H none colony
20141211_2_3 920061fe-dd95-4ba3-84d7-3f53206612ed regular 2 1 1 1 25 H none colony
20141211_3_1 4bfdd922-50ed-43b7-94df-23d826028686 regular 2 1 0 1 25 H none colony
20141212_3_1 679128a9-39b5-4bcc-b769-17c24d433532 regular 2 1 1 0 26 H none colony
20141219_1_3 06819f3d-2e19-44d9-ac69-816e28d6db29 onset 2 0 0 1 30 H none colony
20141219_1_4 1015aec3-9a87-41f4-abab-bfe9827df4da trans 2 1 0 0 30 H none colony
20141219_1_5 a05fa30f-8813-4dba-b22d-0a348b5613ec onset 6 0 1 0 30 H none colony
20150106_1_2 230a6b1b-2042-449c-94fe-b9d6144b75a2 regular 3 1 0 0 35 H none colony
20150108_1_1 a6487734-84f1-4b10-ad2f-24ae0fa9caf7 trans 2 0 1 0 174 H none colony
20150113_1_1 78f97dde-708d-4333-bb98-7b5055420532 regular 2 1 1 1 40 H none colony
20150121_2_1 30435dec-db8e-4168-98ae-f97a47399ddc onset 2 1 1 0 40 H none colony
20150122_1_2 d58d40f8-9699-43be-a6fa-46f8fcf5575f trans 2 1 0 0 40 H none colony
20150122_2_1 6d3b0ae0-eb4f-4175-9f29-29423486f73f trans 2 0 1 1 40 H none colony
20150123_1_2 459695e2-b710-4352-8287-da47b5f47731 trans 2 1 0 0 189 H none colony
20150123_1_3 17952d3a-a199-42e8-b99e-fc810ac7cbc4 onset 5 1 0 0 189 H none colony
20150130_1_1 d62f396d-bcf4-4800-b376-9fe8ef05b11c onset 2 1 0 0 37 H none colony
20150130_2_2 371bd854-afde-426b-b05e-fffd7343444a trans 2 1 0 1 37 H none colony
20150202_1_2 2917460d-69b3-4a05-ad9c-b09132d06307 regular 2 1 0 1 39 H none colony
20150203_2_1 12be711d-a162-435e-b9c6-145ca09c16a5 trans 2 0 0 0 39 H none colony
20150204_2_1 587b7f3b-844a-4dab-9dab-28c02429807c onset 4 1 0 1 40 H none colony
20150204_3_2 7ee0fe57-f01f-426a-9ff9-ea6db854ec18 onset 2 1 0 1 40 H none colony
20150210_1_1 1d590a50-bc36-443e-a3a2-2ff28ca73147 onset 2 1 1 1 31 H none colony
20150210_2_2 7eac6a2d-f9b5-42a6-b299-41d62a32d7fa trans 2 1 1 1 31 H none colony
20150211_2_1 2d4bde2a-dbfa-4992-96c2-15c27a7b5677 trans 7 0 0 1 31 H none colony
20150227_1_1 aabb65cf-5023-4cb5-93bf-053bbc55cd2c onset 2 1 0 1 37 H none colony
20150227_2_1 329790c5-a61d-4005-98ba-1e3852fa2adb regular 2 0 0 1 37 H none colony
20150303_2_2 18e68a69-603e-4410-9a3d-f98efcd287f5 trans 2 1 1 1 35 H none colony
20150303_3_1 753a6ed8-5476-4cf1-82d8-86703300de23 trans 2 1 1 1 35 H none colony
20150304_1_2 9d48e723-ae96-4826-8d54-be84c75839e2 trans 2 1 0 1 36 H none colony
20150304_3_2 ed2b6888-109e-46f4-8354-06f150d873d3 fast 2 1 0 1 36 H none colony
20150311_2_1 f7381a07-2a06-4096-9319-cf82687160b0 onset 2 1 0 1 40 H none colony
20150401_1_1 70d2edf6-b100-4dc9-b8c4-4ba8546af6f7 regular 2 1 0 0 40 H syn colony
20150403_1_1 223dce77-5ffa-451e-8a4e-c91aa3ecc230 onset 2 1 0 0 39 H syn colony
20150403_2_1 c49e53ca-acd0-4bd2-88ab-a9cdfea3d094 onset 2 1 0 0 39 H syn colony
20150408_1_2 bb9f7c6e-dce6-44c1-b222-123cfec6e671 trans 2 1 0 0 39 H syn colony
20150408_1_3 d556a158-d906-469f-925c-3f3d10b79fde regular 2 1 0 0 39 H syn colony
20150501_1_1 c218fe99-e0ed-4681-97d8-fe91ff68d61f trans 2 1 0 0 40 H none colony
20150501_1_2 6e99de9d-9288-443e-b4aa-4a4057c5ab04 regular 2 1 0 0 40 H syn colony
20150501_1_3 e04099f2-d046-488c-aa66-317db63b67e1 regular 2 0 0 0 40 H syn colony
20150506_1_1 a1a1b127-efb9-425c-b969-3d025d720f50 regular 2 1 0 0 40 H syn colony
20150513_1_1 c3703b01-2ba1-44f5-836c-345f58d12802 onset 2 0 0 0 32 H syn colony
20150601_1_2 fd4811f8-8ec0-4f02-9d82-0ee0a48e0c73 trans 2 1 0 0 153 H none colony
20150602_1_1 e83e025d-98d7-4786-a277-6ba1da1787c8 onset 2 0 0 0 156 H none colony
20150602_1_2 d2f2ba8a-5f5b-48e1-8c00-47c2dcad5b7b onset 2 0 0 0 156 H none colony
20150602_1_3 3783570a-daf3-4f69-98e4-d0315aea2713 trans 2 1 0 0 156 H none colony
20150622_2_4 be738ff1-b998-4249-bf7a-edc5ca3419c0 onset 2 1 0 0 175 H none colony
20150623_1_1 fe024999-f4bc-4204-8b1e-d9dcdec917f2 onset 2 1 0 0 178 H none colony
20150623_1_2 8c255e98-372d-49c0-9959-32d46eb2c775 onset 2 1 0 0 178 H none colony
20150623_2_1 17bae44d-914e-4a53-be8a-f472977c1919 onset 2 0 0 0 178 H none colony
20150623_2_2 6853f19b-4023-4181-a804-8db28810fe30 trans 2 1 0 0 178 H none colony
20150624_1_1 c9fd5405-3b13-46f3-bb85-c6b4da1c7b67 fast 2 1 0 0 441 H none colony
20150626_1_2 1648d529-1290-430b-ad01-68333791a143 trans 2 0 0 0 177 H none colony
20150626_2_1 28e90392-2ca5-488f-b809-082d1a18262c fast 2 1 0 0 177 H none colony
20150629_1_1 17c6fe55-cc23-4b44-9420-f1e4f4128516 onset 2 0 0 0 344 H none colony
20150629_1_2 d9bc42e0-76cf-4ad2-a439-42aca9b83002 onset 2 1 0 0 344 H none colony
20150629_2_1 2a2bc61a-74a7-4d68-a518-21fd0492cb21 trans 4 1 0 0 344 H none colony
20150630_1_1 bb896931-45f7-41f4-b814-58dc3c622664 trans 2 0 0 0 181 RT none colony
20150630_1_2 d7331494-c784-4dad-975e-c7a834784190 trans 3 0 0 0 181 RT none colony
20150630_1_3 a096e242-9490-4c08-9272-71b65b69a747 trans 2 0 0 0 181 RT none colony
